able	unable
bright; twinkling; pearlescent, nacreous, opalescent, opaline, iridescent; brilliant; ardent; luminous, lambent, lucent, aglow; refulgent, effulgent, radiant, beamy, beaming; scintillating, glistering, fulgid, glittering, aglitter, sparkly, scintillant, glittery, glinting, coruscant; lurid; beady, buttonlike, beadlike, buttony; bright as a new penny; glimmery; self-luminous; noctilucent; silvery, silver, silvern; glary, glaring, blinding, fulgent, blazing, dazzling; shimmery; nitid, gleaming, agleam; sheeny, glistening, shining, glossy, shiny, lustrous; silken, sleek, silky, satiny, slick, silklike	dull; unpolished; matte, mat, matted, flat, matt; subdued, soft; lackluster, lusterless, lustreless, lacklustre
dim, dimmed; low-beam	bright, undimmed
discriminatory, prejudiced; sexist; loaded; anti-Semite, racist, antiblack; jaundiced; homophobic	impartial, unprejudiced; colour-blind, nonracist, color-blind; open, receptive
broad-minded; catholic; open-minded; tolerant, large-minded, liberal, broad; undogmatical, latitudinarian, free-thinking, undogmatic	narrow, narrow-minded; narrow; small-minded, petty; self-opinionated, opinionated, opinionative; dogmatical, dogmatic; close-minded, closed-minded; illiberal, intolerant
reconstructed	unreconstructed
broken; unsound; imperfect; injured; damaged	unbroken; uninjured; undamaged; sound; perfect
broken, unkept	kept, unbroken
broken; broken-field; discontinuous, noncontinuous; halting; off-and-on, fitful, interrupted; dotted, dashed	unbroken; uninterrupted, continuous; uninterrupted; solid
brotherlike, brotherly, fraternal	sisterlike, sisterly, sororal
exergonic	endergonic
biovular, fraternal	identical, monovular
buried, inhumed, interred; belowground	unburied
busy; overbusy; employed; diligent; at work; up to; tied up; occupied, engaged; laboring, labouring, toiling, drudging	idle; work-shy, slothful, indolent, faineant, lazy, otiose; lackadaisical; unengaged; bone-lazy, bone-idle; leisured; ineffectual, uneffective, ineffective; unemployed
boney, bony; boned; bonelike; bone; strong-boned	boneless; deboned, boned
buttoned, fastened; botonnee, botonee; button-down	unbuttoned, unfastened; open-collared
capitalist, capitalistic; laissez-faire, individualistic; private-enterprise, competitive, free-enterprise; bourgeois	socialist, socialistic; left; collectivised, collectivistic, collectivized, collectivist, state-controlled; collective
cacophonic, cacophonous; cackly, squawky; rending, ripping, splitting; rough, raspy, scratchy, grating, rasping, gravelly; raucous, strident; guttural, croaky; noisy; jangly, jangling; husky, hoarse, gruff; jarring	euphonious, euphonous; golden; silvery, silvern
calculable; estimable, computable; enumerable, countable, numerable, denumerable; determinable	incalculable; indeterminable, undeterminable; indeterminable; multitudinous, infinite, innumerous, numberless, countless, myriad, unnumberable, unnumerable, uncounted, innumerable, unnumbered; incomputable, immeasurable, inestimable
calm; settled; windless; still, unruffled, smooth, placid, tranquil, quiet; peaceable, peaceful	stormy; rough, boisterous, fierce; unpeaceful; thundery; squally; choppy; blusterous, blustery, blustering; surging, billowy, billowing; breezy, blowy, windy; inclement; dirty; gusty, puffy; angry, wild, furious, raging, tempestuous
camphorated	uncamphorated
capable; resourceful; able; competent; confident, sure-footed, surefooted	incapable; incompetent; unable
capable	incapable
cared-for; tended to, attended	uncared-for; untended; unattended, neglected
careful; cautious; close; prudent; too-careful, overcareful; conscientious, scrupulous, painstaking; studious; particular; elaborated, detailed, elaborate; protective; blow-by-blow; thorough; certain, sure; diligent; narrow, minute	careless; superficial; imprudent; inattentive; unconcerned; cursory, passing, perfunctory, casual; incautious; haphazard, sloppy, slipshod, slapdash; incautious; reckless, heedless; negligent; offhand, offhanded
carnivorous; piscivorous; meat-eating, flesh-eating, zoophagous; predaceous, predacious	herbivorous; saprophytic; baccivorous; phytophagous, phytophagic, plant-eating, phytophilous; grass-eating; carpophagous, fruit-eating; anthophagous, anthophilous; saprophagous, saprozoic
carnivorous; piscivorous; meat-eating, flesh-eating, zoophagous; predaceous, predacious	insectivorous; apivorous; myrmecophagous
carnivorous; piscivorous; meat-eating, flesh-eating, zoophagous; predaceous, predacious	omnivorous; all-devouring
herbivorous; saprophytic; baccivorous; phytophagous, phytophagic, plant-eating, phytophilous; grass-eating; carpophagous, fruit-eating; anthophagous, anthophilous; saprophagous, saprozoic	insectivorous; apivorous; myrmecophagous
herbivorous; saprophytic; baccivorous; phytophagous, phytophagic, plant-eating, phytophilous; grass-eating; carpophagous, fruit-eating; anthophagous, anthophilous; saprophagous, saprozoic	omnivorous; all-devouring
omnivorous; all-devouring	insectivorous; apivorous; myrmecophagous
holozoic	holophytic
carpellate, pistillate	acarpellous, acarpelous
carpeted	uncarpeted
carvel-built; flush-seamed	clincher-built, clinker-built, lap-streaked, lap-straked, lap-streak, lap-strake
carved, carven; graven, sculpted, sculptured; lapidarian; graven, inscribed, engraved, incised, etched; sliced	uncarved
acatalectic	hypercatalectic
acatalectic	catalectic
catalectic	hypercatalectic
cauline	basal, radical
censored; expurgated	uncensored; unexpurgated
caudate, caudated; stiff-tailed; caudal, taillike; scissor-tailed; tail-shaped; bobtailed, bobtail; tailed; swallow-tailed; square-tailed; scaly-tailed; short-tailed	acaudal, acaudate; anurous, tailless
caulescent, cauline, stemmed; multi-stemmed; woody-stemmed; woolly-stemmed; wiry-stemmed; leafy-stemmed; thick-stemmed; stout-stemmed; spiny-stemmed; short-stemmed; cylindrical-stemmed; weak-stemmed	acaulescent, stemless
causative; motor, motive; sternutatory, sternutative; precipitating; anorexigenic, anorectic; inductive, inducive; abortifacient; causal; motivative, motive, motivating; actuating, activating; fast; conducive, contributory, tributary, contributive, contributing; responsible, responsible for; errhine	noncausal, noncausative
cautious; gingerly; overcautious; unadventurous; restrained, guarded; fabian; careful; cagy, cagey, chary	incautious; brainish, impulsive, hotheaded, madcap, tearaway, impetuous; careless; adventurous, adventuresome
cellular; alveolate, honeycombed, faveolate, pitted, cavitied; cancellous, cancellate, cancellated; cell-like; lymphoblast-like; multicellular	acellular, noncellular; single-celled, one-celled; cell-free
coherent	incoherent
compartmented; compartmentalised, compartmental, compartmentalized	uncompartmented
poriferous, porous; porose	nonporous
central; centrical, centric; midmost, middlemost; median, medial; centered; focal; middle, midway, halfway, center; bicentric; nuclear; bifocal; amidship	peripheral; off-base; marginal, fringy; circumferential; encircling, skirting
centrifugal; outward-developing; outward-moving	centripetal; inward-developing; inward-moving
afferent; corticipetal, corticoafferent; sensory, centripetal, receptive	efferent, motorial; corticifugal, corticoefferent, corticofugal; motor, centrifugal; neuromotor
centralising, centralizing; consolidative, integrative; centripetal, unifying	decentralising, decentralizing; centrifugal
certain; definite; sure as shooting; indisputable, sure	uncertain; indeterminate, undetermined; up in the air; indefinite
certain, sure; confident, positive, convinced	incertain, unsure, uncertain; dubious, doubtful; ambivalent; groping
certain, sure; confident, positive, convinced	incertain, unsure, uncertain; dubious, doubtful; ambivalent; groping
convinced	unconvinced; dubious
confident; self-assured, self-confident; assured; overconfident, positive, cocksure; reassured	diffident, unsure, shy, timid
certain, sure; doomed, fated; in for; predestinate, foreordained, predestined; predictable; destined, bound	uncertain; contingent; fluky, flukey, iffy, chancy; up in the air; unpredictable
certified; authorized, authorised; documented; certificated; credentialled; certifiable	uncertified
inevitable; necessary; fateful, fatal; ineluctable, inescapable, unavoidable	avertable, evitable, avertible, avoidable
preventable	unpreventable
changeable, changeful; mobile; quick-change; adjustable; volatile; exchangeable; distortable; astatic; reversible; erratic, mercurial, quicksilver, fickle; kaleidoscopical, kaleidoscopic; unstable, fluid; jittering; mobile, fluid; checkered; quick-drying; inconstant; open-ended	unchangeable; constant; lasting, permanent; confirmed; changeless, unalterable; set in stone, carved in stone; stable, unchanging, static; frozen, fixed
commutable; translatable, transmutable, transformable, convertible; alterable	incommutable; inconvertible, untransmutable; unalterable
alterable	inalterable, unalterable; incurable; last, final
modifiable	unmodifiable
adjusted; focused; weighted	unadjusted; maladjusted
adjusted; well-adjusted, well-balanced	maladjusted; unadapted, unadjusted
altered; paraphrastic; adjusted; changed; revised; edited, emended	unaltered, unchanged; unrevised; unreduced; timeless, dateless; in-situ, unmoved; unedited
amended; revised	unamended
changed; transformed; varied; denatured, denaturized, denaturised; exchanged	unchanged; unvaried, unvarying; same; idempotent
isometric	isotonic
ionised, ionized	nonionic, unionized, unionised, nonionized, nonionised
changeable, mutable	changeless, immutable
characteristic; peculiar; diagnostic, symptomatic; typical; typical, distinctive	uncharacteristic; atypical, untypical
charged; negatively charged, negative, electronegative; polar; hot, live; electropositive, positive, positively charged	uncharged; electroneutral, neutral; drained, dead
charitable; generous; eleemosynary, philanthropic, beneficent, benevolent	uncharitable; meanspirited, ungenerous; stingy, ungenerous
chartered, leased, hired	unchartered
owned; closely-held	ownerless, unowned
chaste; virtuous; pure; moral; celibate, continent; virtuous, vestal, pure, virginal, virgin	unchaste; fallen; immoral; loose, promiscuous, sluttish, wanton, light, easy; impure; licentious; cyprian
cheerful; sunny, gay, cheery; lightsome, lighthearted, light-hearted, blithesome, blithe; perky, chirpy, buoyant; twinkly, smiling, beamish; happy; glad; beaming, glad; debonair, jaunty, debonaire, chipper	cheerless, uncheerful, depressing; sorry, drab, grim, dismal, disconsolate, gloomy, drear, blue, dreary, dingy, dark; melancholy, somber, sombre; unhappy; joyless
chlamydeous	achlamydeous
chondritic, granular	achondritic
monoclinic	anorthic, triclinic
homochromatic, monochromatic	polychromatic
chromatic; purple-red, purplish-red; colorful, colored, coloured; buff; hazel-brown; silvery-blue, silver-blue; rosaceous, rose, roseate; coral-red; bottle-green; amethyst; violet-blue, lilac-blue; earthlike; bronze-red; rusty, rust, rust-brown; pink-red; scarlet-crimson; amber, brownish-yellow, yellow-brown; bluish-violet, blue-violet; lilac-purple; creamy-yellow; golden, gilded, gilt, gold, aureate; flame-orange, reddish-orange, red-orange; yellow-green; pinkish, pink; sulfur-yellow, sulphur-yellow; blackish-red; cress green, watercress, cresson; bronze, bronzy; rose-purple, rosy-purple; golden-yellow; brownish-orange, sorrel; peacock-blue; crimson-yellow; lilac, lavender, lilac-colored; beige; rose-lavender, rose-lilac; jade-green, jade; tawny, tawny-brown; reddish-lavender, red-lavender; chartreuse; tannish; gray-brown, greyish-brown, grey-brown, grayish-brown; chestnut-brown; canary-yellow, canary; orangish-red, orange-red; bright-red, raspberry-red; chestnut; russet; amber-green; vinaceous; straw; mauve-pink; yellow-beige, yellowish-beige; teal, blue-green, cyan, bluish green; pink-tinged; deep-yellow; crimson-magenta; sapphire; sea-green; silver-green, silvery-green; taupe, fuscous; magenta pink; olive; avocado; red-violet, reddish-violet; white-pink; rose-mauve; umber; blueish, blue, bluish; rose-tinged, rose-tinted; purple-lilac, purplish-lilac; brownish-purple, brown-purple; hazel; rusty-red, rust-red; pinkish-purple, pink-purple; blue-purple, bluish-purple; yellow, xanthous, yellowish; pale blue, light-blue; mouselike, mousey, mousy, mouse-colored; khaki; pea-green; tan; rose-red; purple-tinged, purple-tinted; salmon, pink-orange, pinkish-orange; buff-brown; ochre, ocher; maroon, brownish-red; reddish-pink; auburn; lavender-pink, lilac-pink, violet-pink; coral; peachy, peachy-coloured, peachy-colored; powder blue, powdery-blue; deep-pink; maroon-purple; tangerine; rosy, blushful; purplish-blue, purple-blue; reddisn-purple, red-purple; scarlet-pink; yellow-orange, yellowish-orange; dun; purplish-brown, purple-brown; caramel brown, caramel; purple-green, purplish-green; pink-lavender, pinkish-lavender; blood-red, red, ruby, scarlet, cherry-red, reddish, ruby-red, crimson, cerise, ruddy, carmine, cherry; honey; purplish, purple, violet; dark-brown, brown, chocolate-brown, brownish; creamy; chukker-brown, snuff, snuff-brown, mummy-brown; red-brown, mahogany-red, reddish-brown; magenta; stone; rusty-brown; lavender-tinged; golden-green; vermillion, vermilion, cinnabar, Chinese-red; copper colored, coppery; blae; drab, olive-drab; greenish-brown; grayish-green, greyish-green, grey-green, gray-green; greenish, light-green, green, dark-green; golden-brown; gray-pink, grey-pink, greyish-pink, grayish-pink; ultramarine; cerulean, azure, bright blue, sky-blue; sage, sage-green; grayish-blue, greyish-blue, gray-blue, grey-blue; crimson-purple; mauve-blue; moss green, mosstone; orange-brown; dark-blue; brownish-green, brown-green; orange, orangish; blackish-brown; blue-lilac, bluish-lilac; violet-tinted, violet-tinged; yellow-tinged; wine-red; olive-brown; dull-purple; mauve; carnation	achromatic, neutral; canescent; ebon, ebony; dark-gray, oxford-grey, oxford-gray, dark-grey; greenish-white, green-white; purplish-black, purple-black; white-flowered; bluish-white, blue-white, cool-white; chalky; silvery-gray, silver-gray, silvery-grey, silver-grey; purplish-white, purple-white; off-white, whitish; reddish-grey, reddish-gray, red-gray, red-grey; ink-black, inky, inky-black; grey-black, greyish-black, grayish-black, gray-black; coal-black, jet-black, pitchy, sooty, jet; yellow-gray, yellow-grey, yellowish-gray, yellowish-grey; pearly, pearly-white; colorless, colourless; brownish-grey, brownish-gray, brown-gray, brown-grey; iron-gray, iron-grey; blue-black, bluish black; yellowish-white, yellow-white; dull-white; violet-black; milk-white; pearl grey, pearl gray; lily-white; silver-white, silvery-white; slate-black; ash-grey, ash-gray, ashy; greenish-grey, greenish-gray; soot-black, sooty-black; blackish; pinkish-white; gray-white, greyish-white, grayish-white, grey-white; olive-grey, olive-gray; sable; black-grey, blackish-gray, black-gray, blackish-grey; brownish-black, brown-black; slatey, slaty-grey, slaty-gray, slate-grey, slate-gray, stone-grey, stone-gray, slaty; greyish, grayish, grey, gray; cottony-white; hueless; charcoal-grey, charcoal, charcoal-gray; snowy, snow-white; silvery, argent, silver, silverish; bluish-gray, blue-gray, bluish-grey, blue-grey
